Date,TotalSamplesTested,State,Trivandrum,Kollam,Pathanamthitta,Alapuzha,Kottayam,Idukki,Ernakulam,Thrissur,Palakad,Malapuram,Kozhikode,Wayanad,Kannur,Kasargod
08-03-2020,729,3,,,,1,,,,1,,,,,,1
09-03-2020,807,6,,,5,,,,1,,,,,,,
10-03-2020,980,8,,,4,,2,,2,,,,,,,
11-03-2020,1179,0,,,,,,,,,,,,,,
12-03-2020,1377,2,,,,,,,,1,,,,,1,
13-03-2020,1715,3,3,,,,,,,,,,,,,
14-03-2020,1897,0,,,,,,,,,,,,,,
15-03-2020,2147,2,1,,,,,1,,,,,,,,
16-03-2020,2297,3,,,,,,,,,,2,,,,1
17-03-2020,2467,0,,,,,,,,,,,,,,
18-03-2020,2550,0,,,,,,,,,,,,,,
19-03-2020,2921,1,,,,,,,,,,,,,,1
20-03-2020,3436,12,,,,,,,6,,,,,,,6
21-03-2020,3716,12,,,,,,,3,,,,,,3,6
22-03-2020,4035,15,,,,,,,2,,,2,2,,4,5
23-03-2020,4035,28,,,1,,,,2,1,,,,,5,19
24-03-2020,4291,14,1,,,1,1,,1,,1,1,2,,,6
25-03-2020,4902,9,,,2,,,1,3,,2,,1,,,
26-03-2020,5342,19,,,,,,1,,2,,3,,1,9,3
27-03-2020,5679,39,,1,,,,,,1,,,1,,2,34
28-03-2020,6067,6,2,1,,,,,,,1,1,,,,1
29-03-2020,6690,20,1,,,,,,1,1,1,1,,,8,7
30-03-2020,6991,32,,,,,,2,,,,,,2,11,17
31-03-2020,7485,7,2,1,,,,,,1,,,,,1,2
01-04-2020,7965,24,2,,,,,,3,2,1,2,,,2,12
02-04-2020,8456,21,1,2,1,,,5,,1,,1,1,,1,8
03-04-2020,9139,9,,,,,,,,1,,,,,1,7
04-04-2020,9744,11,,1,,1,,,1,,1,,,,1,6
05-04-2020,10221,8,,,1,,,,,,,,5,,1,1
06-04-2020,10716,13,,1,1,,,,,,,2,,,,9
07-04-2020,11232,9,,1,,,,,,,,1,,,3,4
08-04-2020,11986,9,,,1,2,,,,1,,,,,4,1
09-04-2020,12710,12,1,1,,,,,,,,2,,0,4,4
10-04-2020,13339,7,,,,,,,,,,2,,,2,3
11-04-2020,14163,10,,,,,,,,,,,1,,7,2
12-04-2020,14989,2,,,1,,,,,,,,,,1,
13-04-2020,15683,3,,,,,,,,,1,,,,2,
14-04-2020,16235,8,,,,,,,,,,,3,,4,1
15-04-2020,16745,1,,,,,,,,,,,,,1,
16-04-2020,17400,7,,,,,,,,,,,2,,4,1
17-04-2020,18029,1,,,,,,,,,,,1,,,
